dwd_order_detail.id     dwd_order_detail.order_id       dwd_order_detail.user_id        dwd_order_detail.sku_id dwd_order_detail.sku_name       dwd_order_detail.order_price    dwd_order_detail.sku_num        dwd_order_detail.create_time     dwd_order_detail.dt
1       1       46      180     VPlNehAgee      371.00  1       2019-08-21 00:05:52.0   2019-08-21
2       1       46      10      aZVDfSVaqD      4635.00 5       2019-08-21 00:05:52.0   2019-08-21
3       2       197     3       BHEaqDRAbH      4425.00 4       2019-08-21 05:09:00.0   2019-08-21
4       3       127     128     PNsyrlhdTj      2500.00 4       2019-08-21 22:14:00.0   2019-08-21
5       3       127     77      brHlkpUDji      4372.00 1       2019-08-21 22:14:00.0   2019-08-21
6       3       127     204     kaxlLZNSZt      364.00  3       2019-08-21 22:14:00.0   2019-08-21
7       3       127     289     AHJypfHUBX      1663.00 5       2019-08-21 22:14:00.0   2019-08-21
8       4       55      7       betFVMWwuJ      2993.00 2       2019-08-21 00:51:31.0   2019-08-21
9       5       131     214     bbcjNlPtxj      1652.00 3       2019-08-21 15:13:36.0   2019-08-21
10      6       145     29      XzDsgCtngT      2328.00 3       2019-08-21 11:12:29.0   2019-08-21
11      7       33      204     rJfIckSKUt      4997.00 1       2019-08-21 16:04:49.0   2019-08-21
12      8       144     211     DMaSkwCyJb      4400.00 4       2019-08-21 10:25:49.0   2019-08-21
13      8       144     249     cPSSLceqox      2707.00 3       2019-08-21 10:25:49.0   2019-08-21
14      9       195     291     LLxcTnJEWT      3695.00 5       2019-08-21 16:38:38.0   2019-08-21
15      9       195     180     fMsFXXVKNM      800.00  3       2019-08-21 16:38:38.0   2019-08-21
16      10      130     27      fpgMsABeRU      4861.00 2       2019-08-21 19:30:20.0   2019-08-21
17      11      126     206     WEibHhPEBV      2826.00 3       2019-08-21 16:51:33.0   2019-08-21
18      11      126     8       zuBvBriNpk      3407.00 1       2019-08-21 16:51:33.0   2019-08-21
19      11      126     131     UijsnmwxWq      3319.00 1       2019-08-21 16:51:33.0   2019-08-21
20      12      74      40      cRcMAtrDSC      4881.00 5       2019-08-21 02:34:31.0   2019-08-21
21      12      74      81      QqfEFoEdJS      4910.00 4       2019-08-21 02:34:31.0   2019-08-21
22      12      74      169     KSjqaewWsX      4693.00 3       2019-08-21 02:34:31.0   2019-08-21
23      13      135     300     PbKweekKYK      4399.00 5       2019-08-21 13:58:33.0   2019-08-21
24      13      135     51      XpEeFRsooF      3355.00 5       2019-08-21 13:58:33.0   2019-08-21
25      13      135     224     ThebTmJtaU      2649.00 1       2019-08-21 13:58:33.0   2019-08-21
