dwd_order_info.id       dwd_order_info.total_amount     dwd_order_info.order_status     dwd_order_info.user_id  dwd_order_info.payment_way      dwd_order_info.out_trade_no     dwd_order_info.create_time      dwd_order_info.operate_time      dwd_order_info.dt
 
1       729     2       46      2       2239638077      2019-08-21 00:05:52.0   2019-08-21 00:51:36.0   2019-08-21
2       324     2       197     1       6831551872      2019-08-21 05:09:00.0   2019-08-21 06:03:35.0   2019-08-21
3       690     2       127     1       1865040824      2019-08-21 22:14:00.0   2019-08-21 22:38:41.0   2019-08-21
4       833     2       55      2       1278265700      2019-08-21 00:51:31.0   2019-08-21 01:35:40.0   2019-08-21
5       232     1       131     2       8645112917      2019-08-21 15:13:36.0   null    2019-08-21
6       668     2       145     2       2709657149      2019-08-21 11:12:29.0   2019-08-21 11:31:08.0   2019-08-21
7       675     1       33      2       4531514614      2019-08-21 16:04:49.0   null    2019-08-21
8       264     2       144     2       1145460219      2019-08-21 10:25:49.0   2019-08-21 11:03:05.0   2019-08-21
9       784     1       195     2       5384729902      2019-08-21 16:38:38.0   null    2019-08-21
10      344     2       130     1       6644699638      2019-08-21 19:30:20.0   2019-08-21 20:12:36.0   2019-08-21
11      731     2       126     2       0773427016      2019-08-21 16:51:33.0   2019-08-21 17:02:37.0   2019-08-21
12      183     1       74      1       3053172041      2019-08-21 02:34:31.0   null    2019-08-21
13      122     2       135     1       2057270028      2019-08-21 13:58:33.0   2019-08-21 14:04:52.0   2019-08-21
14      434     1       141     1       9380761747      2019-08-21 07:40:23.0   null    2019-08-21
15      211     1       177     2       1100810001      2019-08-21 12:36:55.0   null    2019-08-21
16      645     2       101     2       4341337618      2019-08-21 09:03:39.0   2019-08-21 09:55:55.0   2019-08-21
17      698     2       138     1       1511473429      2019-08-21 05:21:01.0   2019-08-21 05:57:28.0   2019-08-21
18      872     1       36      1       3579610601      2019-08-21 13:36:47.0   null    2019-08-21
19      444     1       178     1       6313427944      2019-08-21 07:36:02.0   null    2019-08-21
20      311     2       115     1       5795695057      2019-08-21 01:27:56.0   2019-08-21 01:37:28.0   2019-08-21
21      93      2       22      1       1753029990      2019-08-21 07:49:00.0   2019-08-21 08:00:49.0   2019-08-21
22      123     2       79      2       2131547179      2019-08-21 01:25:16.0   2019-08-21 02:03:49.0   2019-08-21
23      179     2       148     1       3552453199      2019-08-21 20:46:16.0   2019-08-21 21:04:13.0   2019-08-21
24      93      2       87      1       2130408074      2019-08-21 14:15:04.0   2019-08-21 14:53:15.0   2019-08-21
25      262     2       47      2       3683389068      2019-08-21 09:31:09.0   2019-08-21 10:25:40.0   2019-08-21
