dws_user_action.user_id dws_user_action.order_count     dws_user_action.order_amount    dws_user_action.payment_count   dws_user_action.payment_amount  dws_user_action.comment_count   dws_user_action.dt
1       5       1872    2       553     2       2019-08-21
10      3       1022    2       942     0       2019-08-21
100     6       4834    3       2287    0       2019-08-21
101     7       4424    2       1607    0       2019-08-21
102     2       515     0       0       0       2019-08-21
103     4       2100    1       304     0       2019-08-21
104     8       4695    6       3102    0       2019-08-21
105     7       4219    2       1428    0       2019-08-21
106     4       1700    3       1640    0       2019-08-21
107     3       663     2       518     2       2019-08-21
108     4       2368    3       1460    0       2019-08-21
109     7       3400    2       840     0       2019-08-21
11      2       877     0       0       0       2019-08-21
110     7       3650    3       1371    0       2019-08-21
111     3       2273    0       0       0       2019-08-21
112     1       727     0       0       0       2019-08-21
113     2       317     1       266     0       2019-08-21
114     3       1993    2       1484    0       2019-08-21
115     5       2208    3       2044    0       2019-08-21
116     5       1948    5       1948    0       2019-08-21
117     9       4125    2       765     0       2019-08-21
118     10      6277    6       3695    0       2019-08-21
119     8       4779    5       2696    2       2019-08-21
12      9       2900    4       1434    0       2019-08-21
120     6       4356    2       1362    0       2019-08-21
 
